,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_estimator__epsilon,param_estimator__gamma,params
10,-25.358949508338792,-32.82022940541361,-26.12398000775148,-23.072353272721546,-36.08160279075799,-28.684771353306747,4.915325325244176,1,-0.37495392034490216,-0.3740634926345312,-0.3750725916050152,-0.37549123583541777,-0.3725019506241712,-0.3744166382088075,0.0010643728063296882,11.797654294967652,0.47050066312075556,0.6046545028686523,0.10623311346264812,984.3696651312702,0.6969018879642277,4.143353839251002,"{'estimator__C': 984.3696651312702, 'estimator__epsilon': 0.6969018879642277, 'estimator__gamma': 4.143353839251002}"
11,-24.540678959278598,-31.706147648089356,-25.34780959171455,-22.313906372055985,-34.66514117598015,-27.70840130473282,4.668362618464073,1,-0.5779234231640473,-0.5788205680009056,-0.5798221829581997,-0.5820108015377735,-0.575820739129106,-0.5788795429580065,0.0020477926864304625,9.395028114318848,0.1267766819177076,0.386578893661499,0.004531663003712214,969.1221814170037,0.8879732339828231,3.956869952938298,"{'estimator__C': 969.1221814170037, 'estimator__epsilon': 0.8879732339828231, 'estimator__gamma': 3.956869952938298}"
12,-24.51413968917297,-31.65198365756195,-25.318074955460034,-22.284629307030368,-34.596273654488535,-27.666715101917287,4.652006291058679,1,-0.6093844007131742,-0.6105399213346142,-0.6114509718681116,-0.6139924109049442,-0.6072966413231415,-0.6105328692287972,0.002218266971589844,9.917329692840577,0.18788320390346377,0.5125069618225098,0.10336335566948932,1000.0,0.9147196062159431,3.9428453952191616,"{'estimator__C': 1000.0, 'estimator__epsilon': 0.9147196062159431, 'estimator__gamma': 3.9428453952191616}"
13,-24.49991308642039,-31.616972630928327,-25.300758610446366,-22.267426626420885,-34.55147411510263,-27.641026786463634,4.64036190612043,1,-0.6355123342699325,-0.6369346298436586,-0.6377156951576866,-0.6405928575883607,-0.6334865808229863,-0.6368484195365249,0.0023608260808287373,10.1931715965271,0.16980749749725604,0.454940128326416,0.011999776268290702,959.4677253889046,0.9364811154516859,3.9324792533231365,"{'estimator__C': 959.4677253889046, 'estimator__epsilon': 0.9364811154516859, 'estimator__gamma': 3.9324792533231365}"
14,-24.489321450448713,-31.583380555019566,-25.28634896210992,-22.252746745669707,-34.508425771119526,-27.617787764245893,4.628111292807489,1,-0.6663197186836962,-0.6682329743511102,-0.6687984278862207,-0.6721256164866,-0.6645263304753588,-0.6680006135765971,0.0025535151817929263,9.630692863464356,0.3671049797797189,0.39997119903564454,0.028348507495623967,859.2456795832004,0.9617275263402998,3.9212744850947217,"{'estimator__C': 859.2456795832004, 'estimator__epsilon': 0.9617275263402998, 'estimator__gamma': 3.9212744850947217}"
15,-24.488420765426916,-31.554037733158392,-25.279106471150513,-22.244827693760325,-34.471208160958774,-27.601294417586665,4.614718044560204,1,-0.7079471322558314,-0.7105096243771044,-0.7106897296023018,-0.7147397289921434,-0.7064969030437079,-0.7100766236542178,0.0028162767331105,9.268700218200683,0.3166782487358473,0.42135915756225584,0.02783082973690259,675.4398846270111,0.9949983393265647,3.9083263417573733,"{'estimator__C': 675.4398846270111, 'estimator__epsilon': 0.9949983393265647, 'estimator__gamma': 3.9083263417573733}"
16,-259.5731983523346,-283.3307449549178,-245.79235006056877,-244.5231118615568,-279.97997005513315,-262.63375394571545,16.417370445323723,1,-260.1601319575312,-251.8193407777236,-263.32103984691605,-262.85259827754226,-254.64156659044255,-258.5589354900311,4.570446896045993,4.830837202072144,0.11223986212548923,0.7037976741790771,0.015082753303699244,0.1,0.0,3.899414323315373,"{'estimator__C': 0.1, 'estimator__epsilon': 0.0, 'estimator__gamma': 3.899414323315373}"
17,-17.445466813895642,-22.019680652576294,-19.848859683086925,-16.77038959247787,-23.501481394500416,-19.91224207678166,2.579862929064122,1,-0.08876426221107848,-0.08862060394032177,-0.08827621736724345,-0.08862642505204174,-0.08838108571163555,-0.0885337188564642,0.0001782681063473742,25.89019660949707,0.5178686818620812,0.5129070281982422,0.046109993830556334,977.3814661244395,0.3308564684084015,2.7161491884559212,"{'estimator__C': 977.3814661244395, 'estimator__epsilon': 0.3308564684084015, 'estimator__gamma': 2.7161491884559212}"
18,-83.71603879214064,-96.73769028961027,-91.16751155303234,-80.83312679691161,-111.19129211379102,-92.7111417032749,10.786626598542254,1,-5.0501384545675916e-08,-5.066224018028739e-08,-5.118675507898265e-08,-5.047077648353587e-08,-5.086311548699744e-08,-5.073685435509585e-08,2.646368359648506e-10,8.660447597503662,0.16148809664357996,0.6648199558258057,0.020757366109505036,976.5668797837145,0.0,10.0,"{'estimator__C': 976.5668797837145, 'estimator__epsilon': 0.0, 'estimator__gamma': 10.0}"
19,-14.818535058295076,-17.00828694517249,-19.128327491933085,-16.233380361832314,-18.0281369545384,-17.03889264717651,1.4799671411424122,1,-1.3368751781629167,-1.523790983853785,-1.2379444753532254,-1.3284082874130942,-1.3636786660307185,-1.3581395181627478,0.09300973798285062,96.71869940757752,1.950109217392722,0.3887777328491211,0.04822585541242615,650.0008593667928,0.6624304231994553,1.1586814289672371,"{'estimator__C': 650.0008593667928, 'estimator__epsilon': 0.6624304231994553, 'estimator__gamma': 1.1586814289672371}"
