,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
11,-46.482526922301986,-31.609843089180035,-40.01541517070987,-37.8357432326627,-49.98954143323203,-41.19718465415362,6.476315129762919,1,-10.362615529124303,-10.926896447248332,-10.409107719552656,-10.395727978548244,-10.41116540426139,-10.501102615746985,0.2136046053839719,21.95464720726013,0.11946327572087224,0.1375208854675293,0.026686989498980768,17,2,2,852,"{'max_depth': 17, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 852}"
12,-49.642226792020246,-33.32576841991679,-43.454556417567964,-40.1453215792323,-53.580837501508434,-44.04094470622074,7.106719891810675,1,-15.846289782643314,-16.434934537343032,-15.946223820409815,-15.559896481682507,-15.78304177318381,-15.914077279052496,0.2896671087053208,20.77931704521179,0.252030031116722,0.1543132781982422,0.03395605158272501,15,3,4,1000,"{'max_depth': 15, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
13,-49.3772316924084,-33.522965413570994,-43.65712929429618,-39.51203492259819,-52.716724571402644,-43.768434772694704,6.847993867100698,1,-15.727969148450413,-16.281503561297363,-15.92154187756079,-15.512252289563477,-15.50897638539348,-15.790448652453104,0.28942836731678595,20.618211698532104,0.15558893357325093,0.16091032028198243,0.03913557034323443,16,3,4,995,"{'max_depth': 16, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 995}"
14,-49.332077901992044,-33.10075238358204,-43.50137406237617,-39.44561808343281,-54.10906133287362,-43.908623661332655,7.349980321387505,1,-15.837005962081907,-16.354129659501645,-15.772289649622783,-15.695154069231078,-15.606375711365832,-15.85299101036065,0.2621601734587928,12.495455694198608,0.14212307636434693,0.09334869384765625,0.027471204741677867,14,3,3,591,"{'max_depth': 14, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 591}"
15,-49.27234160000561,-33.6892682825457,-42.83771086069126,-39.58428278095791,-52.54354988951904,-43.59678180233924,6.737358521709622,1,-15.863106184791329,-16.40182836142457,-15.734433080851131,-15.761693436470253,-15.487600725869338,-15.849732357881326,0.3023815306017274,20.75673289299011,0.1865005659798233,0.14172086715698243,0.028852409723090874,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
16,-50.46060705341799,-33.458301538888676,-43.141173660337024,-39.480693249159806,-52.63879129060666,-43.849136299988885,7.049308068318795,1,-15.819445654148275,-16.46287765207871,-15.618649344662874,-15.580588072843408,-15.497792134516864,-15.795870571650028,0.3498739493382717,20.95102128982544,0.2590494688889295,0.1565108299255371,0.047974261509177864,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
17,-49.820460632919776,-33.496972268976855,-43.28569579465391,-39.96924485407854,-53.06957516058333,-43.94015036278276,6.9719511689230425,1,-15.765687655232092,-16.30102438083022,-15.75196314388548,-15.58247627922567,-15.629885672940361,-15.806207426422764,0.257127633439752,20.878462743759155,0.2098643825271166,0.16070876121520997,0.04333155778518514,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
18,-49.7955489842704,-33.63959410629964,-42.656751942637065,-39.90126502512627,-52.964266511341904,-43.80346947295767,6.921729395963559,1,-15.761791672896852,-16.36652628344274,-15.710618886166886,-15.612703537261659,-15.678240539045774,-15.825976183762782,0.2745659885249024,20.648393678665162,0.23848998142271852,0.1531129837036133,0.039343898300233354,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
19,-49.96814197611424,-33.427923615247416,-42.52705607952314,-39.85589145254729,-52.989183190049246,-43.76604345972904,7.03027517850638,1,-15.770524053105724,-16.4106334453497,-15.700713652687192,-15.62634022259959,-15.501431726725098,-15.80192862009346,0.3171378088476585,20.83908567428589,0.18398596634726377,0.1499147891998291,0.034174054242318584,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
20,-50.07929551939933,-33.643232103459276,-42.9900884133617,-39.92727486487262,-53.046439670675525,-43.949525654084326,6.979044367133162,1,-15.759719537420729,-16.323271690058288,-15.813697242690612,-15.52946820319735,-15.60946915855196,-15.807125166383788,0.277437923285036,20.961414766311645,0.2415054452323867,0.16070933341979982,0.03675722669362311,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
21,-50.13335185594096,-33.54317630294699,-42.987217891245606,-39.50189552618942,-52.849453204968256,-43.8156543512676,7.017807175382334,1,-15.784024533989502,-16.415780020821103,-15.680891506941157,-15.638153863789757,-15.574952841720274,-15.818760553452359,0.3061723978748606,20.694364929199217,0.240927959015571,0.1545119285583496,0.03341491494011842,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
22,-49.90005692736683,-33.22441280484594,-43.184260102412054,-39.57501094406483,-53.5322572604205,-43.89520930307062,7.2360669449427855,1,-15.819983992699138,-16.242375546033198,-15.784875555579088,-15.602200803826408,-15.574604381813158,-15.804808055990199,0.23922221978910493,20.90984454154968,0.15980248355678403,0.1553114891052246,0.034618382880378634,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
23,-50.070542482955304,-33.56725444849052,-43.418289602269326,-39.48445069094992,-52.853548113696135,-43.89117580103608,6.9946762680154935,1,-15.81177583627974,-16.450533994809835,-15.746967305469454,-15.514170113323097,-15.625676518748884,-15.829824753726204,0.3267370306443994,20.74893741607666,0.1656669222012571,0.1844954490661621,0.049865403575223614,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
24,-49.984566152413564,-32.94978837466001,-43.047573200859,-39.8321476078029,-53.34326235964951,-43.84374917303576,7.255429592742952,1,-15.836561143456908,-16.44975282766127,-15.610140523724544,-15.716819382984363,-15.75388332087563,-15.873431439740543,0.2972026098219871,20.87146406173706,0.30595614311238606,0.16190872192382813,0.04474463994000043,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
25,-49.89160333901083,-33.26687432772438,-43.16724271383447,-40.190152881025284,-53.153345946055026,-43.94573557705391,7.053198134922378,1,-15.938154227720888,-16.29335839990196,-15.767527073377265,-15.636127620519016,-15.57768510538966,-15.84257048538176,0.2572004783621517,21.06895503997803,0.17877447172953123,0.15671086311340332,0.038517825994769876,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
26,-46.990260744681834,-31.922309581177498,-40.831805174067355,-37.31241462363657,-49.88586677739937,-41.39971247672844,6.480914327995857,1,-10.655490141854484,-10.969394068777769,-10.643385499804735,-10.593443279322207,-10.349652294345367,-10.642273056820914,0.1975830676612738,3.4178426265716553,0.033634812690224024,0.023788309097290038,0.00642907836445102,17,2,2,132,"{'max_depth': 17, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 132}"
27,-49.75749315331371,-33.49351215292418,-43.446369934398966,-39.41600420194289,-52.61121707515386,-43.75692044895544,6.9074731087718195,1,-15.76396211291306,-16.25740225643014,-15.793470935619428,-15.602142974306405,-15.508408858183147,-15.785077427490435,0.2583089479385553,20.768125772476196,0.2860980529479822,0.16330928802490235,0.03704469512901534,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
28,-49.952187408176194,-33.032381953201536,-43.16293364442211,-39.66037563037716,-52.84150776208631,-43.74229706034832,7.112498165018784,1,-15.801255102206655,-16.29806060496617,-15.800518192753803,-15.656733243768006,-15.640557194816347,-15.839424867702197,0.23926637065159778,20.954219627380372,0.25016560773009,0.1617074966430664,0.04069776155712704,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
29,-49.746840597060306,-32.779713419523524,-43.192687128626204,-39.67807588423289,-53.122553581988974,-43.71603573201647,7.2232582132836205,1,-15.78969399360468,-16.33275177101019,-15.776688822261622,-15.581901264553602,-15.696084338546441,-15.835424037995306,0.25944759973800063,20.772722816467287,0.2899772136837161,0.15671286582946778,0.03977376574534514,20,3,4,1000,"{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}"
